i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
511   |    -4.04550145797232     2.10244297859723  |   0.0000000001025   0.0000000001348
512   |    -1.71702599678234    -4.84337599609983  |   0.0000000000798   0.0000000001633
513   |    -6.43504595113249    19.60211903579323  |   0.0000000001508   0.0000000000949
514   |     1.63217749496377    15.03274966117940  |   0.0000000000914   0.0000000001189
515   |     9.42151487228275    25.21790637666263  |   0.0000000001787   0.0000000000035
516   |     4.25265591875221    -8.20104855412699  |  -0.0000000000713   0.0000000000392
517   |    -8.39110592359789     7.21324620528125  |   0.0000000001336   0.0000000001889
518   |     0.93422165470093     0.41382833428491  |   0.0000000000718   0.0000000000060
519   |    -4.77863283014475     2.99377182534730  |   0.0000000000713   0.0000000001323
520   |     2.25155284550232   -16.25347229215576  |   0.0000000001002   0.0000000000266
521   |     5.72740982990772    -0.01943196305142  |   0.0000000000386   0.0000000000614
522   |   -23.64161919113281     9.61124106923285  |   0.0000000000441   0.0000000000690
523   |     4.02406248206001    13.23564767478140  |   0.0000000000592   0.0000000000647
524   |    -6.01051276430856     2.31744762126107  |   0.0000000000021   0.0000000000526
525   |   -11.18335878269515     6.58198567536230  |   0.0000000000085   0.0000000001048
526   |    -3.02041926853944   -11.92003178659094  |  -0.0000000000047   0.0000000001442
527   |     3.38154796343993    -9.46867686947332  |   0.0000000000959   0.0000000001518
528   |   -10.34857172289460    -7.55313106077816  |   0.0000000000256   0.0000000001252
529   |    -1.12005599676909    -7.47344053089467  |   0.0000000001706   0.0000000001895
530   |    -7.23501422528227     6.69219055433494  |   0.0000000001228  -0.0000000000075
531   |     8.71878541988588    -7.36863176753098  |   0.0000000000391   0.0000000000905
532   |    10.84157814617253     9.42545121829673  |   0.0000000000750   0.0000000000992
533   |     3.31357848325628    -6.44156555781489  |   0.0000000001374   0.0000000000668
534   |    -2.29048412569390   -17.84792724342220  |  -0.0000000000153   0.0000000000003
535   |    -5.65225568320478     4.89953452370421  |   0.0000000000622   0.0000000002027
536   |    -6.04441426378637     1.34291278001081  |   0.0000000001185   0.0000000000279
537   |    -0.36745380214094    10.11644651711875  |   0.0000000000623   0.0000000001334
538   |     4.55751003842080    -5.87886274258211  |   0.0000000001481   0.0000000000117
539   |    -2.64645096452034    12.43429589123298  |   0.0000000000211   0.0000000000228
540   |     2.26438810637696    -3.28437361781317  |  -0.0000000000035   0.0000000000316
541   |     9.68623189261812     4.24056013322437  |  -0.0000000000328   0.0000000001969
542   |     3.37791180039642     3.97099643630205  |   0.0000000001930   0.0000000001587
543   |    -2.82856247929619     0.42154473920381  |   0.0000000001081  -0.0000000000032
544   |    16.84074211438280   -15.47131458280173  |   0.0000000000346   0.0000000000767
545   |     3.58738750364556     7.29096189901511  |   0.0000000001190   0.0000000000775
546   |     7.79809966758340    -6.98899151054119  |   0.0000000000386  -0.0000000000048
547   |    -2.40661927433200    14.62072228655503  |   0.0000000000234   0.0000000001274
548   |    -8.38431120734350    -5.43088758886448  |   0.0000000001261   0.0000000000562
549   |    -1.56245281534732     8.36749113781547  |   0.0000000000440   0.0000000000110
550   |     4.05542877136136     8.86671054850934  |   0.0000000000042   0.0000000000464
551   |    12.12203111295115     4.98673861543610  |   0.0000000000185   0.0000000000951
552   |    -4.20528441724984     1.69766649727564  |   0.0000000000199   0.0000000000731
553   |    -7.27116431410434     7.24755230641314  |   0.0000000000018   0.0000000001310
554   |    -0.89429753675049    -3.15640799772959  |   0.0000000000524   0.0000000001621
555   |    10.81040486496195    -5.11755758942431  |   0.0000000001424   0.0000000001413
556   |    -6.37115297672370    -9.74450743394897  |   0.0000000000924   0.0000000000209
557   |     2.78111210190352    -9.29829045724713  |   0.0000000000388   0.0000000001077
558   |    -2.19783715451062    -3.72813970827138  |   0.0000000000648   0.0000000000811
559   |   -11.53187594176626    -1.63670606133644  |   0.0000000000633   0.0000000001672
560   |    10.30044849912764    10.51271939737308  |   0.0000000001648   0.0000000000872
561   |     6.16191642874337    11.36782935705774  |   0.0000000000935   0.0000000000881
562   |     5.61356589691039     6.45132977491962  |   0.0000000001792   0.0000000000421
563   |     2.17376570528988     9.78717441531066  |   0.0000000000259  -0.0000000000154
564   |    15.08811381534116   -13.45743326049824  |   0.0000000000631   0.0000000001613
565   |     1.05048289003914    10.63837374637420  |   0.0000000002042   0.0000000000588
566   |   -19.58063408556861     7.23366952643111  |   0.0000000001175  -0.0000000000226
567   |    -7.35542326695618     4.90723831478741  |   0.0000000000975  -0.0000000000163
568   |     6.43135002484977    10.39049645268742  |   0.0000000000393  -0.0000000000214
569   |    10.33356958669908     7.24569140721770  |   0.0000000000469   0.0000000000073
570   |    -0.23193074171561     9.69155519873478  |   0.0000000000014   0.0000000000123
571   |    -3.69257600800350    -8.16065691611818  |   0.0000000000545   0.0000000000306
572   |    -3.86653880084221     3.53599615019563  |  -0.0000000000730  -0.0000000000058
573   |     6.61460207697822     8.76713980088997  |   0.0000000000114   0.0000000001997
574   |    13.42485612064039    -8.32092444643097  |   0.0000000001050   0.0000000000336
575   |     2.49589700378586     9.48423679487789  |   0.0000000000168   0.0000000000956
576   |    10.63236328290031    -5.00813562487901  |   0.0000000000914   0.0000000000612
577   |     1.78624013133994   -10.21119116375922  |   0.0000000000604   0.0000000000496
578   |    21.73513064504834   -19.33973857514943  |   0.0000000000147   0.0000000000094
579   |     6.46155591365897     2.44569956734698  |   0.0000000000012   0.0000000001428
580   |    -3.99104663671955     8.27800261030476  |   0.0000000001030   0.0000000000702
581   |     0.08945802496943    -4.33778272638849  |   0.0000000000576   0.0000000000812
582   |   -10.86021797649687     1.63566498459840  |   0.0000000000534   0.0000000000226
583   |     3.23574723130623     1.63025398224473  |   0.0000000000332   0.0000000001715
584   |     2.13480339748807    -3.65921384485100  |   0.0000000002133  -0.0000000000014
585   |    -2.80422700144155    -7.39143509170728  |  -0.0000000000470  -0.0000000000138
586   |     3.48482500835713     4.47284915844683  |   0.0000000000803   0.0000000001001
587   |     5.17476860950377    -0.32445654808577  |   0.0000000000166   0.0000000000458
588   |    -7.47375279777780     1.41735012744153  |   0.0000000001195   0.0000000001119
589   |    -7.16320680072559     1.48596995999661  |   0.0000000000962  -0.0000000000213
590   |     6.09614141593661     1.68661081844760  |   0.0000000000472   0.0000000000013
591   |    -2.84554884689241    11.57662166368523  |  -0.0000000000090  -0.0000000000032
592   |   -10.13335111838644    -4.21983930298322  |  -0.0000000000041   0.0000000000852
593   |    17.62738471201520     4.82120048215936  |   0.0000000000641   0.0000000000734
594   |     4.90583163268337    10.87511384141204  |   0.0000000000513  -0.0000000000050
595   |    -6.11382300694658    -9.97394338261693  |  -0.0000000000628   0.0000000000483
596   |     0.64085770685101     4.39170106407299  |   0.0000000000531   0.0000000001511
597   |    -5.68042307370511    12.51057975678664  |   0.0000000000879   0.0000000000005
598   |    12.94770237647570    -3.15290890982607  |  -0.0000000000609   0.0000000000474
599   |    -8.68547225734255     9.40527107224022  |   0.0000000000551   0.0000000001594
600   |    -1.21102467072123    -5.68211720202321  |   0.0000000000795   0.0000000000252
601   |     2.26706695264096    11.03592695637596  |   0.0000000000388   0.0000000000916
602   |     6.54306993908319    11.35393713437236  |   0.0000000000862  -0.0000000000285
603   |    11.68312786375653     8.10504931626189  |  -0.0000000000843   0.0000000000510
604   |    -0.92625967092413     2.99016566591658  |   0.0000000000569   0.0000000000814
605   |     3.30123035682687     8.88964854151044  |  -0.0000000000744   0.0000000000393
606   |    -3.73031351599531    -6.16756873462850  |  -0.0000000000143   0.0000000001713
607   |    -4.87290452162918     1.82438648092986  |   0.0000000000340   0.0000000001797
608   |     5.78183163142600    -9.81416368225657  |   0.0000000001833   0.0000000001119
609   |    -4.32085459300801     6.76500999803338  |   0.0000000000228  -0.0000000000254
610   |    14.84291071677729   -15.50687440207539  |   0.0000000000474   0.0000000001100
611   |     4.99211768530766     0.06306545001446  |   0.0000000000291  -0.0000000000209
612   |     8.40520741319342   -16.63291908338173  |  -0.0000000000815   0.0000000000817
613   |    -0.78382176142017   -13.01810028643683  |  -0.0000000000404   0.0000000001703
614   |    -4.56290927363310    -9.13765906198434  |   0.0000000000705   0.0000000001820
615   |     6.44653718635182     8.39189463519542  |   0.0000000000338   0.0000000001172
616   |    11.25279376961543    -6.76370933481572  |   0.0000000000958   0.0000000001802
617   |     4.31824478116702     6.96988497862675  |   0.0000000000694   0.0000000000812
618   |     3.81749768853018    10.77687172141059  |   0.0000000000864   0.0000000001903
619   |    -9.26297922405084    -4.73753194198137  |   0.0000000001549   0.0000000000915
620   |    19.44788857079374     4.22409635156582  |   0.0000000001465   0.0000000000841
621   |    -2.13861764111003    -3.67146287702807  |   0.0000000000877  -0.0000000000146
622   |    -2.10866274832141     6.08901731290733  |   0.0000000000646   0.0000000001146
623   |    -0.61272628844236   -17.17369168159927  |   0.0000000001141  -0.0000000000330
624   |    -3.35120177625168    16.08216430078846  |  -0.0000000000659   0.0000000000893
625   |    14.79064330999742    -9.69022429914593  |   0.0000000001158   0.0000000001506
626   |   -10.44213201057852    -7.02042297665248  |   0.0000000000961   0.0000000000450
627   |    -0.22501184315509     0.75423731110571  |   0.0000000000290   0.0000000000415
628   |    13.83259632380888    -0.78366682137582  |   0.0000000000158   0.0000000001802
629   |    -9.28187328991937    -4.84535756041499  |   0.0000000002123   0.0000000001375
630   |     7.79973813895526     6.68025825652669  |   0.0000000001463  -0.0000000000112
631   |   -13.24271438439316    -2.34575274123037  |   0.0000000000833   0.0000000000005
632   |    -7.46892887076315    10.23181791130710  |   0.0000000000563   0.0000000000138
633   |    -6.04926012626385   -21.00859774644456  |   0.0000000000287   0.0000000000026
634   |    -5.68089194813183    13.26138331042405  |  -0.0000000000312   0.0000000000850
635   |     9.16915725299256    17.93224445825626  |   0.0000000000697   0.0000000001443
636   |    13.33319991582918    19.89572583707859  |   0.0000000001096   0.0000000000755
637   |    -8.61020416817048    -2.28322896309524  |   0.0000000000613   0.0000000000584
638   |    -8.58827137130552   -10.10790230784503  |   0.0000000001088   0.0000000001132
639   |    10.52566998586330    -3.55198710135457  |   0.0000000001252  -0.0000000000135
640   |     2.42852599880649   -15.17219612745297  |   0.0000000000193   0.0000000000653
641   |     0.64309385177933     3.31896977070509  |   0.0000000001372   0.0000000000225
642   |   -14.46331921958937   -13.77247868680350  |  -0.0000000000486  -0.0000000000015
643   |     8.42870247388935    -5.40966320876092  |   0.0000000000786   0.0000000001995
644   |   -15.88469092014529     3.50429190526015  |   0.0000000001908  -0.0000000000191
645   |    -6.51416273241239    13.51921714042856  |  -0.0000000000217  -0.0000000000173
646   |     3.37228217959712     7.19202791223340  |   0.0000000000787   0.0000000001030
647   |     2.95080338570577   -11.65265670213149  |   0.0000000000488  -0.0000000000369
648   |    -7.01910854931768    -2.30349985352289  |  -0.0000000000307   0.0000000001043
649   |   -11.42999306201443    -2.71837457470287  |   0.0000000000790   0.0000000000965
650   |     3.40993816380664     2.38481572000950  |   0.0000000000932   0.0000000000963
651   |    -5.32208100727801    10.86506055695601  |   0.0000000000908  -0.0000000000137
652   |     8.96048179373756   -15.46848623674147  |   0.0000000000127   0.0000000001197
653   |     1.10135550374977    13.66201780385785  |   0.0000000001871   0.0000000000100
654   |     3.62871513065611    14.26365350637099  |  -0.0000000000069  -0.0000000000097
655   |     4.61791433693837    -5.70264886957657  |   0.0000000001161   0.0000000000071
656   |   -12.02525938299601    11.37176232857466  |  -0.0000000000755  -0.0000000000525
657   |    11.39917636937250     8.24573621263787  |  -0.0000000000125   0.0000000000913
658   |     7.59805194453820    -2.94984808886282  |  -0.0000000000713   0.0000000000913
659   |    -1.20888335708058     7.81343219187855  |   0.0000000001010   0.0000000001911
660   |    -8.74178213868602   -12.49899226167062  |   0.0000000000523   0.0000000000155
661   |    -1.56007235115547     5.41727199422299  |   0.0000000000713   0.0000000001353
662   |     8.07083493183363   -12.53505574662722  |   0.0000000000750  -0.0000000000280
663   |    15.77481234509648    -2.56245598959128  |  -0.0000000000655   0.0000000000863
664   |    -6.85004289228766     2.32127370117768  |   0.0000000000367   0.0000000001818
665   |     1.50830244050920    -9.40788601641804  |   0.0000000001569   0.0000000001181
666   |    -7.19571592970602     8.15900722745435  |   0.0000000000787   0.0000000000176
667   |     0.70370018490136    -5.62053299181221  |   0.0000000001018   0.0000000000549
668   |    -2.56021026232730    10.68418604614134  |  -0.0000000000201  -0.0000000000405
669   |     2.79128685453679     9.54000650713356  |  -0.0000000000235   0.0000000001950
670   |    -1.86320009580077    -0.76043562190357  |   0.0000000001294   0.0000000000864
671   |   -12.60523929359566     5.16790763258378  |   0.0000000000743   0.0000000000872
672   |     4.03151120679340     3.01594737374938  |   0.0000000000720  -0.0000000000008
673   |    15.60784696391073     0.55812199792465  |  -0.0000000000229   0.0000000001455
674   |     5.42585607261609     6.02110034927158  |   0.0000000001715   0.0000000000763
675   |    21.37849368850390     0.27662287147137  |  -0.0000000000250   0.0000000000402
676   |     6.49873804250009   -26.14218250684399  |   0.0000000001373   0.0000000001757
677   |    -2.70791075128962     2.62428151900641  |   0.0000000001197  -0.0000000000220
678   |    23.76375848691249     7.39487840619254  |   0.0000000000295   0.0000000000503
679   |    -1.16549249009357    -7.85790183027398  |   0.0000000000282   0.0000000000792
680   |    -7.44515454100176    15.01582368959835  |   0.0000000001305   0.0000000001284
681   |     0.96884740823159     2.77512649123732  |   0.0000000000919  -0.0000000000554
682   |    -6.33104028982480    -3.29344033952333  |  -0.0000000000238   0.0000000001154
683   |   -11.82154028399141     4.68937529320325  |   0.0000000001516   0.0000000000477
684   |    11.29798685725837    19.43431067738227  |  -0.0000000000347   0.0000000000061
685   |    31.06598606371091    10.39385468761315  |   0.0000000000352   0.0000000001709
686   |    -6.13730192074922     0.45788870162037  |   0.0000000001402   0.0000000001074
687   |    -4.19943856550047    -6.97863212738572  |   0.0000000001200   0.0000000000172
688   |    11.39034416932094    -6.76690460195225  |   0.0000000000620   0.0000000000471
689   |     0.04643261580191    -7.54708909579095  |   0.0000000001051  -0.0000000000032
690   |    -3.17585485917491    -0.64234546537987  |  -0.0000000000406  -0.0000000000029
691   |     9.19577331519389   -10.17229411795799  |  -0.0000000000200   0.0000000001311
692   |    -9.19265680559164    11.01368454347554  |   0.0000000000767   0.0000000001927
693   |     2.67831909629558    -9.82670101797704  |   0.0000000002111   0.0000000000362
694   |    -1.45278655521301    -6.96856691461099  |  -0.0000000000302   0.0000000000018
695   |     9.37255958800186    -5.23126886356014  |   0.0000000001394   0.0000000001772
696   |     2.32147341276438    14.08099928180065  |   0.0000000001150  -0.0000000000604
697   |     9.71203887750758    -1.81946830105694  |   0.0000000000183   0.0000000000903
698   |    -3.96825997066564     2.84873224753873  |   0.0000000001316   0.0000000000152
699   |   -15.78287025622833     9.20160192482087  |   0.0000000000036  -0.0000000000322
700   |     3.58246962125797    12.34497586116518  |  -0.0000000000634   0.0000000000747
701   |     8.69858918671937    16.45237217694226  |   0.0000000000281   0.0000000001774
702   |    13.07052844689331    -8.41917018721004  |   0.0000000000863   0.0000000001172
703   |   -13.01928615227183    -1.13945942148043  |   0.0000000000923   0.0000000001465
704   |     7.43694895791044    -8.28749700891185  |   0.0000000001778   0.0000000001100
705   |    -0.64557202574839    10.58815755588147  |   0.0000000001789  -0.0000000000088
706   |    -0.28517223789617     3.73170882701764  |   0.0000000000322  -0.0000000000309
707   |    -6.12017608144921    17.94126140285726  |   0.0000000000597   0.0000000000881
708   |    -2.14259002207118   -10.69211655569211  |   0.0000000000758   0.0000000000291
709   |    -2.28855017368202   -23.41791309161661  |   0.0000000000962   0.0000000000963
710   |     2.13273534362647    -3.39939812480708  |   0.0000000001458  -0.0000000000489
711   |    -9.29565069590080    -1.09694115671014  |  -0.0000000000421  -0.0000000000431
712   |   -13.38228927015459    -0.30372866574767  |  -0.0000000000458   0.0000000001012
713   |     2.31306489079505    10.18929281711372  |   0.0000000000554   0.0000000001481
714   |    11.43329762319038   -22.49290282743572  |   0.0000000000638   0.0000000000701
715   |     6.96502069102767     0.91972911951628  |   0.0000000000481   0.0000000001854
716   |    13.92668705478764    -8.52253696335097  |   0.0000000002382   0.0000000001072
717   |     4.92423954599484   -12.82513521865619  |   0.0000000001369  -0.0000000000238
718   |    16.25778131749193     1.90281230808053  |   0.0000000001213  -0.0000000000159
719   |    22.36998891431733    -2.28725226136827  |   0.0000000000213  -0.0000000000494
720   |   -15.86534380862725    -7.61881899780228  |   0.0000000000088   0.0000000000384
721   |    10.45095329751931    12.70268749463199  |  -0.0000000000217   0.0000000000605
722   |    -4.14159400316917    -1.84632350538639  |   0.0000000000736   0.0000000001538
723   |    -4.93179060701413     4.27859806055175  |   0.0000000000756   0.0000000000334
724   |    -3.73214220470767     0.57652651928945  |   0.0000000000850   0.0000000001656
725   |    -3.76079372659372    -0.97020945246275  |   0.0000000002037  -0.0000000000499
726   |     4.80661925886905   -17.20233007007382  |  -0.0000000000936  -0.0000000000013
727   |    -8.91448254625546    -7.44250742892424  |   0.0000000000674   0.0000000001855
728   |   -10.49085389767235   -16.86659093706047  |   0.0000000001072   0.0000000001132
729   |    -3.30777807017171    -3.35610511415536  |   0.0000000002111   0.0000000000975
730   |     0.96493208994251    -6.58821422615056  |   0.0000000001433  -0.0000000000673
731   |   -12.73786198165645    -4.55051526689287  |   0.0000000000418  -0.0000000000149
732   |    11.09378336131581    -3.50917420995975  |   0.0000000000036   0.0000000000631
733   |     4.72744622302436    -5.59369633430547  |   0.0000000001641   0.0000000001394
734   |    -1.81542334919483   -13.95672727869662  |   0.0000000001768  -0.0000000000817
735   |     2.13919886495486    18.23910599634691  |   0.0000000000459  -0.0000000000279
736   |   -10.54096891687018     4.41555761054656  |   0.0000000000735  -0.0000000000889
737   |   -16.50925510722759     8.46938233849938  |  -0.0000000001187  -0.0000000000284
738   |    -8.62875765773968    -5.06825358758264  |   0.0000000000003   0.0000000001365
739   |    -3.89976102380595   -13.41725471939660  |   0.0000000000210   0.0000000000279
740   |     1.48267046607968     4.65386907082051  |  -0.0000000000399   0.0000000001457
741   |     2.09513852344159     4.49434710088100  |   0.0000000001183   0.0000000001738
742   |     5.25923576070704    -1.92130038621906  |   0.0000000001462   0.0000000000577
743   |    -0.90523760602855    11.40263851374865  |   0.0000000000699   0.0000000000458
744   |    -0.81266238187172   -10.09604618125172  |   0.0000000001459   0.0000000001090
745   |    11.34630215066534    15.66284592087423  |   0.0000000001572  -0.0000000000753
746   |    -5.02161565024063   -11.27342020557418  |  -0.0000000000116   0.0000000000194
747   |     1.48653201255469   -12.40831341114945  |   0.0000000001271   0.0000000000152
748   |     0.78046005294953    -5.63825155710294  |  -0.0000000000300  -0.0000000000237
749   |     8.29317285663927    11.20635820216109  |   0.0000000000553   0.0000000000936
750   |     0.69630577344669    13.49858058772610  |   0.0000000000243   0.0000000000414
751   |     1.80475023215507     2.08601385861875  |   0.0000000001302   0.0000000001078
752   |    11.96122069539354   -10.63659579569543  |   0.0000000000973  -0.0000000000626
753   |    -6.75183570691455   -13.00876655688576  |   0.0000000000445  -0.0000000000042
754   |     1.76741740612609    -2.93054752561377  |  -0.0000000000584  -0.0000000000766
755   |    12.01890586748008   -10.38561771887135  |  -0.0000000000713   0.0000000002031
756   |     5.69176278747777     8.06970378428935  |   0.0000000001729   0.0000000000237
757   |    -2.92552104192251     6.65073543636901  |  -0.0000000001069   0.0000000000158
758   |    -3.76453436325430    -5.03845729635994  |   0.0000000001015   0.0000000001776
759   |    10.85962641235695     3.46353224889596  |   0.0000000000194  -0.0000000000645
760   |    -6.30302350592467    -2.15244715285533  |  -0.0000000001084   0.0000000001993
761   |    -5.72635487849875    -2.72563259026620  |   0.0000000001763   0.0000000002038
762   |    -5.62412555333038     8.65041183484364  |   0.0000000001299   0.0000000000024
763   |    -8.61761512346033    19.68034428487758  |   0.0000000000082   0.0000000000596
764   |     2.96171691434540    13.91902284694216  |   0.0000000000927   0.0000000001303
765   |     4.05460436895372    10.81197671878058  |   0.0000000000906   0.0000000000144
766   |     5.65759793276641   -10.20784934516057  |  -0.0000000000030   0.0000000001149
767   |   -10.35660030289789     7.78543765577895  |   0.0000000001364   0.0000000001361
768   |   -17.11146640863761    -1.33458797675856  |   0.0000000001181   0.0000000000699
769   |    -5.95555465461063     7.31254942450241  |   0.0000000001686   0.0000000000515
770   |     1.93301098663830     5.59659025407268  |   0.0000000000960  -0.0000000000539
771   |     0.12145175061318     4.37595214580050  |   0.0000000000232   0.0000000000159
772   |    16.26833112149077    -6.45079397159972  |   0.0000000000286   0.0000000000131
773   |    12.92763000053003     6.22544667301183  |  -0.0000000000350   0.0000000001064
774   |    -1.25599804661120    -4.22247077742903  |   0.0000000001631   0.0000000001510
775   |    -4.07144974945771    -6.65185867804207  |   0.0000000000858  -0.0000000000793
776   |     1.32364468380084    14.41550989466320  |  -0.0000000000094   0.0000000001164
777   |    -0.87245469819499    -4.21618841922401  |   0.0000000001345  -0.0000000000343
778   |     0.65604383957534    -2.04337660757481  |  -0.0000000001448   0.0000000000251
779   |   -16.94906601374465    23.26248270524886  |   0.0000000000235   0.0000000001953
780   |   -28.70249421205287     3.18110664019518  |   0.0000000000181   0.0000000001529
781   |     8.79974513852594     5.58610098774749  |   0.0000000001466   0.0000000001721
782   |    -2.47910889394121    -2.14805840689880  |   0.0000000000555   0.0000000000887
783   |    -5.06936621830779    11.94471672377324  |   0.0000000001860   0.0000000001929
784   |    -6.30565419166832   -13.07513051655314  |   0.0000000001482  -0.0000000000514
785   |   -21.90662579137486    -5.44370986524189  |  -0.0000000000179   0.0000000001147
786   |    -1.95495542927661    10.58463737853258  |   0.0000000001421   0.0000000001855
787   |   -14.68763617394074    -3.77229556501873  |   0.0000000002413   0.0000000000793
788   |   -10.60628313909079     9.17581109736804  |   0.0000000001018  -0.0000000000880
789   |     1.65358797395914    14.41184685454180  |  -0.0000000000184   0.0000000001649
790   |    -1.14676500170523    -7.08803042190728  |   0.0000000002911   0.0000000001062
791   |     3.18284023049983    -4.30918052804691  |   0.0000000000577  -0.0000000000870
792   |    -3.20969522076471    -6.95435744958480  |   0.0000000001172   0.0000000001581
793   |    -7.82299524674768    -9.13190746997562  |   0.0000000001763  -0.0000000000970
794   |     5.66965005757510   -22.78998474808429  |  -0.0000000000417   0.0000000000700
795   |    -9.35026926847519   -10.72838536891755  |   0.0000000001734   0.0000000000883
796   |     4.72856940349138     3.06736136501391  |   0.0000000000905   0.0000000000139
797   |    24.20500161366291     1.04721770465076  |   0.0000000001249  -0.0000000000163
798   |     3.01817290499797    -6.00270759969447  |  -0.0000000000572   0.0000000000107
799   |     5.75074167853329     5.89838867849259  |   0.0000000000595   0.0000000001977
800   |    -8.20311591831475     1.48762901437096  |   0.0000000001633   0.0000000001350
801   |    -5.32487858820037     5.74010850306033  |   0.0000000002206   0.0000000000664
802   |     8.28316841010457    -8.02864001214536  |   0.0000000001770  -0.0000000000047
803   |     3.12446431377920    -3.77396093139978  |   0.0000000001669  -0.0000000000569
804   |    -3.48592373419577    14.55846746004941  |   0.0000000000559  -0.0000000000423
805   |     4.31160835706911    -4.29154112399882  |   0.0000000001073  -0.0000000000536
806   |   -19.48380024479269    -8.36579930103534  |  -0.0000000000977  -0.0000000000394
807   |    -8.48567305290331    -8.97750372114021  |   0.0000000000458   0.0000000001928
808   |    -6.97533821585103    -6.00782329835358  |   0.0000000001194   0.0000000000116
809   |     2.15092915004781     1.83516126921176  |  -0.0000000000017   0.0000000001015
810   |   -10.86682008443465    -0.71991676306026  |   0.0000000001704   0.0000000001769
811   |   -12.70987081481200    -7.35715496607629  |   0.0000000002007  -0.0000000000353
812   |    -5.58527678204370    -2.17460498779684  |   0.0000000000258   0.0000000000612
813   |     1.72750089221199    -3.29829950158802  |   0.0000000002297   0.0000000000640
814   |     1.76186206093805     4.04776247798294  |   0.0000000000533  -0.0000000000545
815   |     5.55321486595776   -10.69589669058626  |   0.0000000001378   0.0000000001253
816   |    12.25528947890446   -10.73894862766362  |   0.0000000002034  -0.0000000000362
817   |    17.77376384491311     3.06416086299288  |   0.0000000001167  -0.0000000000680
818   |     6.81767372055710    -0.27297247221760  |   0.0000000000518  -0.0000000000114
819   |     1.13922970002571    -2.25180213300791  |   0.0000000001651  -0.0000000000089
820   |     4.28404782512342    -0.62060049178163  |   0.0000000000713  -0.0000000001163
821   |   -12.35982711018898    11.47551826066849  |   0.0000000000250  -0.0000000001070
822   |    12.24479717652830   -16.07186666746068  |  -0.0000000001605   0.0000000000072
823   |    -5.73449568924304    -7.70769766383720  |   0.0000000001211   0.0000000001679
824   |     5.43774409533323   -10.79021176746292  |  -0.0000000000016  -0.0000000001008
825   |     9.00975137906473     7.44503117711882  |  -0.0000000000193   0.0000000002011
826   |    14.44262164930278    18.24608338806362  |   0.0000000001564   0.0000000000408
827   |    10.99706055831608    12.71836134910443  |   0.0000000000873   0.0000000000354
828   |     5.99957311252006     3.70495933053215  |   0.0000000000268  -0.0000000000345
829   |    -6.44277425080802     7.74464157143549  |   0.0000000000208   0.0000000001750
830   |   -19.18682118816194    11.42164477178065  |   0.0000000002339   0.0000000000213
831   |     1.86464575645668     4.50674127963297  |   0.0000000000475  -0.0000000001002
832   |    21.03838009495771    -7.12612330360150  |  -0.0000000000569   0.0000000000251
833   |    -3.90743173738200     0.66752848273926  |   0.0000000000746   0.0000000001409
834   |    -2.42121519015741     9.10198519892104  |   0.0000000000878  -0.0000000000484
835   |     5.27015078767933    -0.55450640943288  |  -0.0000000000883   0.0000000001064
836   |    -2.61401156386626     2.95202115511440  |   0.0000000001353   0.0000000001980
837   |    -9.98284318127719    -6.57011484023483  |   0.0000000001490   0.0000000000365
838   |    -5.88653218889485     7.35804398546967  |   0.0000000001033   0.0000000000875
839   |     8.88128009962073     1.09121200407441  |   0.0000000002070   0.0000000000048
840   |     4.01951492714971    -7.50630119533436  |   0.0000000000303  -0.0000000000773
841   |     4.91959230645577   -16.62623063725678  |   0.0000000000257   0.0000000000659
842   |     7.36884393153354     0.88385388999476  |   0.0000000000336   0.0000000000828
843   |     3.13578626064188    -6.13859423013494  |   0.0000000001840   0.0000000001144
844   |    -9.55543578056793   -14.99000470294611  |   0.0000000000710  -0.0000000000870
845   |    -4.22729556699368     1.42194535897545  |   0.0000000000296   0.0000000001558
846   |    -3.82683643425757     7.37480626081933  |   0.0000000001961   0.0000000000253
847   |   -10.79043884849039     6.18009029931265  |   0.0000000001291   0.0000000000052
848   |    -0.88475699147484    10.56287357950873  |   0.0000000000658  -0.0000000001337
849   |    -8.02131322366084    -1.35473162760995  |  -0.0000000001148   0.0000000001444
850   |     6.00639408493422     2.49709529120114  |   0.0000000002737   0.0000000001138
851   |     0.46401777730270    18.24330120677627  |   0.0000000000095  -0.0000000001233
852   |     1.45943342064345   -11.68035645844798  |   0.0000000000582   0.0000000001524
853   |   -10.00020333101587    -4.36148753934893  |   0.0000000001008  -0.0000000000843
854   |    -1.68715658366179   -19.18009316897587  |  -0.0000000001017   0.0000000001701
855   |    -2.46893846646231     6.06422329773140  |   0.0000000002870   0.0000000001815
856   |    -1.08879076173499     8.24362421199112  |   0.0000000001501  -0.0000000000950
857   |    -1.59285115029687     4.48353326965075  |   0.0000000000797   0.0000000000072
858   |     4.26436537789053    -1.52662265255014  |   0.0000000000624  -0.0000000000006
859   |    -3.35644509040505    -1.66368254339139  |   0.0000000001067   0.0000000000037
860   |     9.60435192661202    12.57391689673088  |  -0.0000000000356  -0.0000000000306
861   |    -6.65392633225083   -14.36563587499275  |   0.0000000000507   0.0000000001571
862   |    -4.83254038397483    -6.89016600623142  |   0.0000000000854   0.0000000000223
863   |   -10.42873436235144    -1.56978923205680  |   0.0000000000559   0.0000000001318
864   |   -10.28751776210122   -12.44911496812893  |   0.0000000001271   0.0000000000843
